ADDRESS|TIME_ZONE|CITY_NAME|STATUS_CODE|PROVINCE_STATE_CODE|COUNTRY_CODE|DAYS_OF_WEEK_OF_OPERATION|DEFAULT_LONG_NAME|DEFAULT_SHORT_NAME|EMAIL|FAX_NUMBER|GENERIC_LOCATION_CODE|LATITUDE|LOCATION_TYPE_CODE|LONGITUDE|MINIMUM_CONNECTION_TIME|PHONE_NUMBER|POSTAL_CODE|DATA_OWNER|CODE_VALUE|CODE_CONTEXT
|CET||1||DE||BAHNHOF BAD DUERKHEIM|BAHNHOF BAD DUERKHEI|||80G0132|492739N|29|081014E||||EVA|518079|UIC
|CET||1||IT||DOMODOSSOLA|DOMODOSSOLA|||8571186|460655N|26|081748E||||EVA|8300057|RDS
|CET||1||IT||MALPENSA AEROPORTO|MALPENSA AEROPORTO|||8301139|453738N|26|084239E||||EVA|8303905|RDS
|CET||1||IT||CHIAVENNA|CHIAVENNA|||8301400|461911N|26|092418E||||EVA|8300670|RDS
|CET||1||IT||ISELLE DI TRASQUERA|ISELLE DI TRASQUERA|||8313644|461226N|26|081225E||||EVA|8302814|RDS
|CET||1||CH||SION|SION|||8579435|461339N|26|072133E||||EVA|8501506|RDS
|CET||1||CH||OLTEN|OLTEN|||5310366|472107N|26|075427E||||EVA|8500218|RDS
|CET||1||CH||LUZERN|LUZERN|||8505000|470300N|26|081837E||||EVA|8505000|RDS
|CET||1||CH||CHIASSO|CHIASSO|||8505307|454955N|26|090153E||||EVA|8505307|RDS
|CET||1||CH||THUN|THUN|||8507100|464517N|26|073746E||||EVA|8507100|RDS
|CET||1||IT||Milano Lampugnano (T|Milano Lampugnano (T|||83G0306|000000N|29|000000E||||EVA|8389414|UIC
|CET||1||CH||ZÜRICH|ZÜRICH|||8595073|472512N|26|083645E||||EVA|8596009|UIC
